Team,ICSId,Provider
Reims,144106,TheSportsDB
Rodez,137652,TheSportsDB
Saint-Étienne,133717,TheSportsDB
Troyes,134789,TheSportsDB
AC Milan,133667,TheSportsDB
Atalanta,134782,TheSportsDB
Bologna,134781,TheSportsDB
Cagliari,134783,TheSportsDB
Como,134243,TheSportsDB
Cremonese,134224,TheSportsDB
Fiorentina,133674,TheSportsDB
Genoa,133675,TheSportsDB
Hellas Verona,134784,TheSportsDB
Inter Milan,133681,TheSportsDB
Juventus,133676,TheSportsDB
Lazio,133668,TheSportsDB
Lecce,133678,TheSportsDB
Napoli,133670,TheSportsDB
Parma,135728,TheSportsDB
Pisa,133859,TheSportsDB
Roma,133682,TheSportsDB
Sassuolo,133701,TheSportsDB
Torino,133687,TheSportsDB
Udinese,133679,TheSportsDB
Avellino,133858,TheSportsDB
Bari,133688,TheSportsDB
Carrarese,134666,TheSportsDB
Catanzaro,134223,TheSportsDB
Cesena,133669,TheSportsDB
Empoli,133695,TheSportsDB
Frosinone,133818,TheSportsDB
Juve Stabia,133696,TheSportsDB
Mantova,133845,TheSportsDB
Modena,133700,TheSportsDB
Monza,134270,TheSportsDB
Padova,135950,TheSportsDB
Palermo,138166,TheSportsDB
Pescara,133685,TheSportsDB
Reggiana,137121,TheSportsDB
Sampdoria,133683,TheSportsDB
Spezia,133879,TheSportsDB
Südtirol,134654,TheSportsDB
Venezia,134234,TheSportsDB
Virtus Entella,134633,TheSportsDB
